,event_key,total_person_count,injured_person_count,Minor_count,Serious_count,Fatal_count,ev_id,Aircraft_key
133,20080305X00272_1,2.0,2.0,1.0,1.0,0.0,20080305X00272,1
134,20080306X00273_1,1.0,0.0,0.0,0.0,0.0,20080306X00273,1
135,20080306X00274_1,1.0,0.0,0.0,0.0,0.0,20080306X00274,1
136,20080306X00275_1,2.0,0.0,0.0,0.0,0.0,20080306X00275,1
137,20080306X00276_1,3.0,0.0,0.0,0.0,0.0,20080306X00276,1
138,20080306X00277_1,1.0,0.0,0.0,0.0,0.0,20080306X00277,1
139,20080306X00278_1,1.0,0.0,0.0,0.0,0.0,20080306X00278,1
140,20080306X00279_1,2.0,0.0,0.0,0.0,0.0,20080306X00279,1
141,20080306X00280_1,5.0,0.0,0.0,0.0,0.0,20080306X00280,1
142,20080306X00281_1,1.0,1.0,0.0,0.0,1.0,20080306X00281,1
143,20080307X00283_1,107.0,0.0,0.0,0.0,0.0,20080307X00283,1
144,20080307X00283_2,137.0,0.0,0.0,0.0,0.0,20080307X00283,2
145,20080307X00284_1,1.0,0.0,0.0,0.0,0.0,20080307X00284,1
146,20080310X00289_1,1.0,0.0,0.0,0.0,0.0,20080310X00289,1
147,20080310X00290_1,1.0,1.0,0.0,1.0,0.0,20080310X00290,1
148,20080310X00291_1,2.0,0.0,0.0,0.0,0.0,20080310X00291,1
149,20080310X00292_1,2.0,0.0,0.0,0.0,0.0,20080310X00292,1
150,20080311X00294_1,2.0,2.0,0.0,1.0,1.0,20080311X00294,1
151,20080311X00297_1,5.0,5.0,0.0,0.0,5.0,20080311X00297,1
152,20080312X00299_1,2.0,0.0,0.0,0.0,0.0,20080312X00299,1
153,20080312X00300_1,2.0,0.0,0.0,0.0,0.0,20080312X00300,1
154,20080312X00301_1,1.0,1.0,1.0,0.0,0.0,20080312X00301,1
155,20080312X00302_1,1.0,0.0,0.0,0.0,0.0,20080312X00302,1
156,20080312X00303_1,1.0,1.0,0.0,1.0,0.0,20080312X00303,1
157,20080312X00304_1,2.0,2.0,2.0,0.0,0.0,20080312X00304,1
158,20080312X00305_1,125.0,1.0,1.0,0.0,0.0,20080312X00305,1
159,20080313X00310_1,2.0,1.0,1.0,0.0,0.0,20080313X00310,1
160,20080313X00311_1,2.0,0.0,0.0,0.0,0.0,20080313X00311,1
161,20080313X00312_1,2.0,0.0,0.0,0.0,0.0,20080313X00312,1
162,20080314X00314_1,2.0,2.0,2.0,0.0,0.0,20080314X00314,1
163,20080317X00315_1,2.0,2.0,0.0,0.0,2.0,20080317X00315,1
164,20080317X00316_1,1.0,1.0,0.0,0.0,1.0,20080317X00316,1
165,20080317X00317_1,1.0,1.0,0.0,1.0,0.0,20080317X00317,1
166,20080317X00318_1,2.0,0.0,0.0,0.0,0.0,20080317X00318,1
167,20080317X00319_1,2.0,0.0,0.0,0.0,0.0,20080317X00319,1
168,20080317X00320_1,3.0,0.0,0.0,0.0,0.0,20080317X00320,1
169,20080317X00321_1,1.0,0.0,0.0,0.0,0.0,20080317X00321,1
170,20080318X00322_1,2.0,0.0,0.0,0.0,0.0,20080318X00322,1
171,20080318X00324_1,1.0,1.0,1.0,0.0,0.0,20080318X00324,1
172,20080318X00325_1,1.0,0.0,0.0,0.0,0.0,20080318X00325,1
173,20080318X00326_1,2.0,0.0,0.0,0.0,0.0,20080318X00326,1
