ev_id,ntsb_no,ev_type,ev_date,ev_time,ev_country,ev_year,ev_month,on_ground_collision,latitude,longitude,apt_dist,light_cond,wind_vel_kts,gust_kts,altimeter,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,ev_inj_tot_f,ev_inj_tot_m,ev_inj_tot_n,ev_inj_tot_s,ev_inj_tot_t,BroadPhaseofFlight,aircraft_count,Aircraft_ID,event_key,Aircraft_Key,eng_type,far_part,damage,acft_make,acft_category,homebuilt,total_seats,num_eng,fixed_retractable,date_last_insp,owner_acft,certs_held,oprtng_cert,oper_cert,second_pilot,evacuation,rwy_len,rwy_width,acft_year,fuel_on_board,unmanned,acft_fatal_count,acft_minor_count,acft_none_count,acft_serious_count,acft_total_person_count,acft_injured_person_count
20221202106403,WPR23LA052,ACC,11/27/22 00:00:00,1415.0,USA,2022,11,,041116N,1113657W,0.0,DAYL,15.0,25.0,0.0,NONE,,,,0,0,1,0,1.0,Landing,1.0,1,20221202106403_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221203106405,ERA23FA077,ACC,12/02/22 00:00:00,2004.0,USA,2022,12,,413516N,0703211W,0.0,DAYL,8.0,0.0,30.5,FATL,,,,1,0,0,1,2.0,Approach,1.0,1,20221203106405_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221204106407,ERA23FA078,ACC,12/04/22 00:00:00,1635.0,USA,2022,12,,423518N,0070553W,0.0,DAYL,9.0,0.0,30.110001,FATL,0.0,0.0,0.0,1,0,0,0,1.0,Initial Climb,1.0,1,20221204106407_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221205106408,CEN23FA057,ACC,12/05/22 00:00:00,256.0,USA,2022,12,,321926N,0972553W,1.0,NITE,7.0,0.0,30.1,FATL,,,,2,0,0,0,2.0,Initial Climb,1.0,1,20221205106408_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221205106409,ERA23FA079,ACC,12/04/22 00:00:00,38.0,USA,2022,12,,027347N,0082272W,1.0,NDRK,7.0,0.0,30.280001,FATL,0.0,0.0,0.0,3,0,0,0,3.0,Initial Climb,1.0,1,20221205106409_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221205106414,DCA23LA090,ACC,12/03/22 00:00:00,2111.0,USA,2022,12,,039412N,0771330W,0.0,DAYL,10.0,0.0,30.02,SERS,0.0,0.0,0.0,0,0,67,1,68.0,Approach,1.0,1,20221205106414_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221205106415,CEN23LA058,ACC,12/03/22 00:00:00,1609.0,USA,2022,12,,462541N,1023140W,0.0,DUSK,7.0,0.0,30.040001,MINR,,,,0,3,0,0,3.0,Maneuvering,1.0,1,20221205106415_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221205106416,WPR23LA053,ACC,12/03/22 00:00:00,1100.0,USA,2022,12,,041316N,0111452W,0.0,DAYL,4.0,0.0,30.290001,NONE,,,,0,0,1,0,1.0,Maneuvering,1.0,1,20221205106416_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221205106417,CEN23FA059,ACC,12/05/22 00:00:00,1840.0,USA,2022,12,,405957N,0944518W,1.0,DAYL,4.0,0.0,29.77,FATL,,,,1,0,0,0,1.0,Approach,1.0,1,20221205106417_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221206106419,CEN23FA060,ACC,12/06/22 00:00:00,316.0,USA,2022,12,,352933N,0974927W,0.0,NITE,10.0,0.0,29.75,FATL,0.0,0.0,0.0,3,0,0,0,3.0,Initial Climb,1.0,1,20221206106419_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221206106421,ERA23LA080,ACC,12/05/22 00:00:00,1552.0,USA,2022,12,,394645N,0081611W,0.0,DAYL,6.0,0.0,30.1,MINR,,0.0,,0,2,0,0,2.0,Landing,1.0,1,20221206106421_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221206106422,CEN23LA061,ACC,12/05/22 00:00:00,2328.0,USA,2022,12,,384327N,0903034W,1.0,NITE,4.0,0.0,29.809999,MINR,,,,0,2,0,0,2.0,Landing,1.0,1,20221206106422_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221206106424,WPR23LA054,ACC,12/04/22 00:00:00,1015.0,USA,2022,12,,046936N,0096524W,0.0,DAYL,6.0,0.0,2995.0,NONE,,,,0,0,2,0,2.0,Takeoff,1.0,1,20221206106424_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221207106430,WPR23LA059,ACC,12/07/22 00:00:00,1915.0,USA,2022,12,,324749N,0097846W,0.0,DAYL,5.0,0.0,0.0,NONE,,,,0,0,2,0,2.0,Landing,1.0,1,20221207106430_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221207106431,WPR23LA060,ACC,11/27/22 00:00:00,2045.0,USA,2022,11,,034468N,1125610W,0.0,DAYL,4.0,0.0,30.09,MINR,,,,0,2,0,0,2.0,Enroute,1.0,1,20221207106431_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221209106435,WPR23LA061,ACC,12/08/22 00:00:00,242.0,USA,2022,12,,020022N,1554746W,0.0,DAYL,14.0,34.0,29.99,MINR,,,,0,1,6,0,7.0,Approach,1.0,1,20221209106435_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221211106438,ERA23LA083,ACC,12/09/22 00:00:00,2100.0,USA,2022,12,,321814N,0832534W,1.5,NDRK,4.0,0.0,30.110001,MINR,,0.0,,0,1,0,0,1.0,Enroute,1.0,1,20221211106438_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221212106439,DCA23LA093,ACC,12/08/22 00:00:00,1711.0,USA,2022,12,,040422N,0074947W,0.0,DAYL,,0.0,30.219999,SERS,,,,0,3,175,1,179.0,Enroute,1.0,1,20221212106439_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221212106440,ERA23LA084,ACC,12/11/22 00:00:00,1220.0,USA,2022,12,,403852N,0073200W,0.0,DAYL,9.0,0.0,30.200001,NONE,,0.0,,0,0,2,0,2.0,Emergency Descent,1.0,1,20221212106440_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221212106441,WPR23LA062,ACC,12/10/22 00:00:00,1810.0,USA,2022,12,,034121N,1065411W,0.0,DAYL,8.0,0.0,30.23,NONE,,,,0,0,1,0,1.0,Landing,1.0,1,20221212106441_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221212106442,WPR23LA063,ACC,12/08/22 00:00:00,1115.0,USA,2022,12,,382638N,1091433W,0.0,DAYL,,0.0,0.0,NONE,,,,0,0,2,0,2.0,Landing,1.0,1,20221212106442_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221212106443,WPR23LA064,ACC,12/09/22 00:00:00,1105.0,USA,2022,12,,325736N,1114536W,0.0,DAYL,,0.0,3014.0,NONE,,,,0,0,1,0,1.0,Landing,1.0,1,20221212106443_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221212106444,ERA23LA085,ACC,12/12/22 00:00:00,1350.0,USA,2022,12,,355745N,0835218W,0.0,DAYL,,0.0,30.16,NONE,,0.0,,0,0,1,0,1.0,Standing,1.0,1,20221212106444_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221213106447,ERA23LA086,ACC,12/08/22 00:00:00,2310.0,USA,2022,12,,332754N,0835049W,0.0,DUSK,,0.0,30.16,NONE,,,,0,0,2,0,2.0,Enroute,1.0,1,20221213106447_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221213106448,CEN23LA062,ACC,12/13/22 00:00:00,205.0,USA,2022,12,,032587N,0965011W,4.0,NITE,13.0,18.0,2984.0,SERS,0.0,0.0,0.0,0,0,0,2,2.0,Approach,1.0,1,20221213106448_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221213106450,CEN23LA063,ACC,12/06/22 00:00:00,1530.0,USA,2022,12,,026611N,0981130W,0.0,DAYL,8.0,0.0,2995.0,NONE,,,,0,0,1,0,1.0,Maneuvering,1.0,1,20221213106450_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
