,accident_id,engine_ELEC,engine_GTFN,engine_HR,engine_LR,engine_NONE,engine_REC,engine_TF,engine_TJ,engine_TP,engine_TS,engine_UNK
140,20080221X00222_1,0,0,0,0,0,1,0,0,0,0,0
141,20080516X00689_1,0,0,0,0,0,1,0,0,0,0,0
142,20080313X00311_1,0,0,0,0,0,1,0,0,0,0,0
143,20080313X00312_1,0,0,0,0,0,1,0,0,0,0,0
144,20080221X00223_1,0,0,0,0,0,1,0,0,0,0,0
145,20080228X00246_1,0,0,0,0,0,1,0,0,0,0,0
146,20080318X00329_1,0,0,0,0,0,1,0,0,0,0,0
148,20080222X00229_1,0,0,0,0,0,0,1,0,0,0,0
150,20080220X00214_1,0,0,0,0,0,0,0,0,1,0,0
151,20080304X00255_1,0,0,0,0,0,0,0,0,0,0,0
152,20080220X00221_1,0,0,0,0,0,1,0,0,0,0,0
153,20080220X00215_1,0,0,0,0,0,1,0,0,0,0,0
154,20080220X00216_1,0,0,0,0,0,1,0,0,0,0,0
155,20080222X00231_1,0,0,0,0,0,0,0,0,1,0,0
156,20080313X00310_1,0,0,0,0,0,1,0,0,0,0,0
158,20080326X00387_1,0,0,0,0,0,1,0,0,0,0,0
160,20080304X00260_1,0,0,0,0,0,0,0,1,0,0,0
162,20080321X00364_1,0,0,0,0,0,1,0,0,0,0,0
163,20080228X00243_1,0,0,0,0,0,0,1,0,0,0,0
164,20080326X00386_1,0,0,0,0,0,1,0,0,0,0,0
165,20080319X00337_1,0,0,0,0,0,1,0,0,0,0,0
166,20080221X00224_1,0,0,0,0,0,0,0,0,1,0,0
168,20081124X34243_1,0,0,0,0,0,0,1,0,0,0,0
170,20081124X34243_2,0,0,0,0,0,0,1,0,0,0,0
172,20080411X00460_1,0,0,0,0,0,1,0,0,0,0,0
173,20080222X00232_1,0,0,0,0,0,1,0,0,0,0,0
174,20080319X00336_1,0,0,0,0,0,1,0,0,0,0,0
175,20080330X00399_1,0,0,0,0,0,1,0,0,0,0,0
176,20080228X00245_1,0,0,0,0,0,0,0,0,1,0,0
178,20080229X00247_1,0,0,0,0,0,1,0,0,0,0,0
179,20080305X00267_1,0,0,0,0,0,0,1,0,0,0,0
181,20080310X00290_1,0,0,0,0,0,1,0,0,0,0,0
182,20080408X00440_1,0,0,0,0,0,0,0,0,0,0,0
183,20080403X00424_1,0,0,0,0,0,1,0,0,0,0,0
184,20080227X00237_1,0,0,0,0,0,1,0,0,0,0,0
186,20080227X00238_1,0,0,0,0,0,1,0,0,0,0,0
187,20080304X00257_1,0,0,0,0,0,1,0,0,0,0,0
188,20080306X00280_1,0,0,0,0,0,0,0,1,0,0,0
189,20080318X00324_1,0,0,0,0,0,1,0,0,0,0,0
190,20080229X00253_1,0,0,0,0,0,1,0,0,0,0,0
191,20080430X00565_1,0,0,0,0,0,1,0,0,0,0,0
193,20080324X00370_1,0,0,0,0,0,1,0,0,0,0,0
194,20080312X00305_1,0,0,0,0,0,0,1,0,0,0,0
196,20080306X00281_1,0,0,0,0,0,1,0,0,0,0,0
197,20080304X00258_1,0,0,0,0,0,1,0,0,0,0,0
198,20080305X00271_1,0,0,0,0,0,1,0,0,0,0,0
199,20080416X00495_1,0,0,0,0,0,1,0,0,0,0,0
200,20080413X00464_1,0,0,0,0,0,0,1,0,0,0,0
202,20080321X00359_1,0,0,0,0,0,1,0,0,0,0,0
203,20080307X00283_1,0,0,0,0,0,0,1,0,0,0,0
205,20080307X00283_2,0,0,0,0,0,0,1,0,0,0,0
